0.001438	-0.558012	-0.369997	0.426130	0.484682	-0.646128	0.599048	-0.024381
0.001783	-0.198479	-0.120650	0.147469	0.163475	-0.241525	0.215306	-0.007700
0.001280	-0.134881	-0.081309	0.099963	0.110512	-0.164915	0.146447	-0.005179
0.000003	0.008878	0.005958	-0.006726	-0.007821	0.010275	-0.009548	0.000391
0.000646	-0.061942	-0.036868	0.045763	0.050335	-0.076233	0.067335	-0.002340
-0.000045	0.014154	0.009146	-0.010635	-0.012150	0.016723	-0.015276	0.000595
0.000372	-0.031592	-0.018497	0.023261	0.025397	-0.039183	0.034390	-0.001168
0.000685	-0.066337	-0.039532	0.049024	0.053950	-0.081594	0.072105	-0.002510
0.000902	-0.090787	-0.054381	0.067172	0.074082	-0.111382	0.098635	-0.003458
0.000730	-0.071356	-0.042577	0.052748	0.058080	-0.087714	0.077552	-0.002705
-0.000364	0.049365	0.030436	-0.036732	-0.041063	0.059738	-0.053501	0.001953
-0.000626	0.078662	0.048194	-0.058464	-0.065155	0.095474	-0.085297	0.003086
-0.002493	0.405375	0.257288	-0.305317	-0.342935	0.481208	-0.437554	0.016635
-0.000575	0.072869	0.044678	-0.054165	-0.060387	0.088413	-0.079010	0.002862
-0.000423	0.055867	0.034373	-0.041553	-0.046406	0.067674	-0.060558	0.002204
-0.000341	0.046816	0.028893	-0.034842	-0.038968	0.056626	-0.050734	0.001854
-0.000328	0.045380	0.028025	-0.033778	-0.037789	0.054873	-0.049176	0.001799
-0.000699	0.086898	0.053197	-0.064579	-0.071937	0.105507	-0.094233	0.003405
-0.000338	0.046522	0.028715	-0.034624	-0.038727	0.056267	-0.050415	0.001843
-0.000097	0.019853	0.012590	-0.014858	-0.016828	0.023688	-0.021463	0.000814
-0.000377	0.050739	0.031268	-0.037750	-0.042191	0.061415	-0.054992	0.002006
-0.000316	0.043984	0.027180	-0.032743	-0.036642	0.053169	-0.047661	0.001745
-0.000086	0.018745	0.011920	-0.014037	-0.015918	0.022333	-0.020260	0.000772
-0.000030	0.012594	0.008203	-0.009479	-0.010870	0.014817	-0.013582	0.000534
